1,#,state-#,1 = primary; 2 = (bkgd),Species only (deleted all recording info from column E),Species and Locations (redundant info; leave as is),Family Name,"Taxon group--full length from ""Web--Listen by species"" for LISTEN BY SPECIES web page",Taxon group--shortened for 2nd line of THIS RECORDING on 381 web pages,"Location--full length from file ""Web--Listen by state"" for LISTEN BY STATE",Location--shortened for first line of THIS RECORDING for 381 web pages,,Location--shortened for first line of THIS RECORDING for 381 web pages; EXPERIMENTAL; DO NOT USE THIS COLUMN
201,144,KY-144,1,Eastern wood-pewee,"Eastern wood-pewee (MO-13), KY-134, KY-144",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Central and Western Kentucky ,Western Kentucky,Kentucky: Central and Western,Central/western KY
203,145,MO-145,1,Chipping sparrow ,"Chipping sparrow VA-14, VA-15, (VA-85), IL-135, MO-145, (IL-146), (WY-247)",Emberizidae,Sparrows,Sparrows,Ozarks of Missouri ,"The Ozarks, Missouri",Missouri: The Ozarks,"The Ozarks, MO"
204,146,IL-146,1,Orchard oriole,"Orchard oriole KY-92, IL-146",Icteridae,Blackbirds,Blackbirds,Illinois (beside the Mississippi River) ,"Mississippi River, Illinois",Illinois: Beside the Mississippi River ,"Mississippi River, IL"
206,146,IL-146,2,Northern cardinal ,"Northern cardinal VA-26, (VA-37), VA-106, (IL-127), (IL-146)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +",Illinois (beside the Mississippi River) ,"Mississippi River, Illinois",Illinois: Beside the Mississippi River ,"Mississippi River, IL"
205,146,IL-146,2,Chipping sparrow ,"Chipping sparrow VA-14, VA-15, (VA-85), IL-135, MO-145, (IL-146), (WY-247)",Emberizidae,Sparrows,Sparrows,Illinois (beside the Mississippi River) ,"Mississippi River, Illinois",Illinois: Beside the Mississippi River ,"Mississippi River, IL"
207,147,OR-147,1,Cedar waxwing ,"Cedar waxwing OR-147, (OR-207)",Bombycyllidae,"Waxwing, longspur","Waxwing, longspur","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
209,148,MO-148,2,Wild turkey,"Wild turkey (VA-55), (MO-148)",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +",Ozarks of Missouri ,"The Ozarks, Missouri",Missouri: The Ozarks,"The Ozarks, MO"
208,148,MO-148,1,Yellow-throated vireo,Yellow-throated vireo MO-148,Vireonidae,"Shrikes, vireos","Shrikes, vireos",Ozarks of Missouri ,"The Ozarks, Missouri",Missouri: The Ozarks,"The Ozarks, MO"
210,149,MO-149,1,Chickadee hybrids,Carolina x black-capped hybrids MO-149,Paridae ,"Chickadees, titmouse","Chickadees, titmouse","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
211,149,MO-149,2,Tufted titmouse,"Tufted titmouse VA-4, (KY-121), (MO-149)",Paridae ,"Chickadees, titmouse","Chickadees, titmouse","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
212,150,MO-150,1,Eastern phoebe ,"Eastern phoebe VA-31, MO-150",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
213,151,MO-151,1,Bell’s vireo ,Bell’s vireo MO-151,Vireonidae,"Shrikes, vireos","Shrikes, vireos","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
214,152,MO-152,1,Yellow-breasted chat ,"Yellow-breasted chat KY-86, IL-88, (MO-129), MO-152, WY-231, WY-236, OR-328",Parulidae,Warblers,Warblers,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
217,153,MO-153,2,Eastern meadowlark ,"Eastern meadowlark VA-100, (MO-153), MO-161, KS-162",Icteridae,Blackbirds,Blackbirds,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
215,153,MO-153,1,Willow flycatcher,"Willow flycatcher KY-82, MO-153, (OR-190), MT-225",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
216,153,MO-153,2,Northern bobwhite ,"Northern bobwhite MO-119, (MO-153), (MO-164)",Odontophoridae,"Quail, grouse, pheasants","Quail, grouse, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
218,154,MO-154,1,Dickcissel,"Dickcissel IL-107, IL-108, IL-109, IL-110, MO-111, MO-112, MO-113, MO-114, MO-154, MO-155, MO-156, MO-157, MO-158, MO-159, MO-160",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
219,155,MO-155,1,Dickcissel ,"Dickcissel IL-107, IL-108, IL-109, IL-110, MO-111, MO-112, MO-113, MO-114, MO-154, MO-155, MO-156, MO-157, MO-158, MO-159, MO-160",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
220,156,MO-156,1,Dickcissel,"Dickcissel IL-107, IL-108, IL-109, IL-110, MO-111, MO-112, MO-113, MO-114, MO-154, MO-155, MO-156, MO-157, MO-158, MO-159, MO-160",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
221,157,MO-157,1,Dickcissel,"Dickcissel IL-107, IL-108, IL-109, IL-110, MO-111, MO-112, MO-113, MO-114, MO-154, MO-155, MO-156, MO-157, MO-158, MO-159, MO-160",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
222,158,MO-158,1,Dickcissel,"Dickcissel IL-107, IL-108, IL-109, IL-110, MO-111, MO-112, MO-113, MO-114, MO-154, MO-155, MO-156, MO-157, MO-158, MO-159, MO-160",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
223,159,MO-159,1,Dickcissel,"Dickcissel IL-107, IL-108, IL-109, IL-110, MO-111, MO-112, MO-113, MO-114, MO-154, MO-155, MO-156, MO-157, MO-158, MO-159, MO-160",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
224,160,MO-160,1,Dickcissel,"Dickcissel IL-107, IL-108, IL-109, IL-110, MO-111, MO-112, MO-113, MO-114, MO-154, MO-155, MO-156, MO-157, MO-158, MO-159, MO-160",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
225,161,MO-161,1,Eastern meadowlark,"Eastern meadowlark VA-100, (MO-153), MO-161, KS-162",Icteridae,Blackbirds,Blackbirds,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
227,162,KS-162,2,Brown-headed cowbird,"Brown-headed cowbird VA-87, KY-115, (KS-162), MO-163, MT-281, (WY-236), (MT-290), (OR-339)",Icteridae,Blackbirds,Blackbirds,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
226,162,KS-162,1,Eastern meadowlark ,"Eastern meadowlark VA-100, (MO-153), MO-161, KS-162",Icteridae,Blackbirds,Blackbirds,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
228,163,MO-163,1,Brown-headed cowbird,"Brown-headed cowbird VA-87, KY-115, (KS-162), MO-163, MT-281, (WY-236), (MT-290), (OR-339)",Icteridae,Blackbirds,Blackbirds,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
229,163,MO-163,2,Brown thrasher,"Brown thrasher VA-30, (MO-163)",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
231,164,MO-164,2,Northern bobwhite ,"Northern bobwhite MO-119, (MO-153), (MO-164)",Odontophoridae,"Quail, grouse, pheasants","Quail, grouse, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
230,164,MO-164,1,Henslow’s sparrow,"Henslow’s sparrow KY-123, MO-164, MO-165, MO-166, MO-167",Emberizidae,Sparrows,Sparrows,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
232,165,MO-165,1,Henslow’s sparrow ,"Henslow’s sparrow KY-123, MO-164, MO-165, MO-166, MO-167",Emberizidae,Sparrows,Sparrows,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
233,166,MO-166,1,Henslow’s sparrow ,"Henslow’s sparrow KY-123, MO-164, MO-165, MO-166, MO-167",Emberizidae,Sparrows,Sparrows,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
234,167,MO-167,1,Henslow’s sparrow ,"Henslow’s sparrow KY-123, MO-164, MO-165, MO-166, MO-167",Emberizidae,Sparrows,Sparrows,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
235,168,MO-168,1,Grasshopper sparrow,Grasshopper sparrow MO-168,Emberizidae,Sparrows,Sparrows,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
237,169,MO-169,1,Baltimore oriole ,"Baltimore oriole (VA-116), MO-169, (KS-173), KS-177",Icteridae,Blackbirds,Blackbirds,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO "
236,169,MO-169,1,Rose-breasted grosbeak,Rose-breasted grosbeak MO-169,Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
238,170,OR-170,1,Common nighthawk,"Common nighthawk OR-170, (KS-187), (OR-192), (CO-215), (CO-216), (OR-331)",Caprimulgidae,Nightjars,Nightjars,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
239,171,KS-171,1,Upland sandpiper,Upland sandpiper KS-171,Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +",Kansas,Kansas,Kansas,Kansas
240,172,KS-172,1,Oil well pump ,Oil pump KS-172,Miscellaneous,"Miscellaneous (dogs, geysers, cattle, etc.)",Miscellaneous (dogs +),Kansas,Kansas,Kansas,Kansas
243,173,KS-173,2,Baltimore oriole,"Baltimore oriole (VA-116), MO-169, (KS-173), KS-177",Icteridae,Blackbirds,Blackbirds,Kansas,Kansas,Kansas,Kansas
241,173,KS-173,1,Great crested flycatcher,"Great crested flycatcher VA-27, (VA-37), KY-128, (VA-137), KS-173, (KS-175), (KS-177)",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Kansas,Kansas,Kansas,Kansas
242,173,KS-173,2,Western kingbird,"Western kingbird (KS-173), KS-175, KS-187, OR-331",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Kansas,Kansas,Kansas,Kansas
244,174,KS-174,1,Eastern kingbird ,"Eastern kingbird VA-85, KS-174",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Kansas,Kansas,Kansas,Kansas
245,174,KS-174,2,Great horned owl,"Great horned owl (KS-174), (OR-295), OR-360",Strigidae,Owls,Owls,Kansas,Kansas,Kansas,Kansas
248,175,KS-175,2,Great crested flycatcher ,"Great crested flycatcher VA-27, (VA-37), KY-128, (VA-137), KS-173, (KS-175), (KS-177)",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Kansas,Kansas,Kansas,Kansas
246,175,KS-175,1,Western kingbird,"Western kingbird (KS-173), KS-175, KS-187, OR-331",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Kansas,Kansas,Kansas,Kansas
247,175,KS-175,2,Ring-necked pheasant,"Ring-necked pheasant (CO-139), (KS-175), (ID-309), (ID-310), (OR-365)",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +",Kansas,Kansas,Kansas,Kansas
249,176,KS-176,1,Scissor-tailed flycatcher,Scissor-tailed flycatcher KS-176,Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Kansas,Kansas,Kansas,Kansas
250,177,KS-177,1,Baltimore oriole,"Baltimore oriole (VA-116), MO-169, (KS-173), KS-177",Icteridae,Blackbirds,Blackbirds,Kansas,Kansas,Kansas,Kansas
251,177,KS-177,2,Great crested flycatcher ,"Great crested flycatcher VA-27, (VA-37), KY-128, (VA-137), KS-173, (KS-175), (KS-177)",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Kansas,Kansas,Kansas,Kansas
252,178,CO-178,1,Western meadowlark ,"Western meadowlark CO-178, CO-180, (CO-222), CO-229, OR-342",Icteridae,Blackbirds,Blackbirds,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
254,179,OR-179,1,Pied-billed grebe,"Pied-billed grebe OR-179, (OR-190), (OR-359)",Podicipedidae,Grebes,Grebes,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
253,179,OR-179,2,Western grebe ,Western grebe (OR-179),Podicipedidae,Grebes,Grebes,Eastern Oregon,Eastern Oregon,Oregon: Eastern ,Eastern OR
255,180,CO-180,1,Western meadowlark ,"Western meadowlark CO-178, CO-180, (CO-222), CO-229, OR-342",Icteridae,Blackbirds,Blackbirds,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
256,181,KS-181,1,Cliff swallow ,Cliff swallow KS-181,Hirundinidae,"Larks, swallows","Larks, swallows","Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
257,182,OR-182,1,Black-capped chickadee,"Black-capped chickadee VA-58, OR-182, MT-288, OR-359",Paridae,"Chickadees, titmouse","Chickadees, titmouse","Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
258,183,KS-183,1,Northern flicker,"Northern flicker (VA-50), (KY-121), KS-183, (OR-330)",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers",Kansas,Kansas,Kansas,Kansas
259,184,CO-184,1,Lark bunting,Lark bunting CO-184,Cardinalidae,Sparrows,Sparrows,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
260,185,CO-185,1,Rock wren ,"Rock wren CO-185, ID-223, WY-274, OR-329",Troglodytidae,Wrens,Wrens,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
261,186,KS-186,1,Northern mockingbird ,"Northern mockingbird (VA-7), VA-29, KY-105, KS-186",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +",Kansas,Kansas,Kansas,Kansas
262,187,KS-187,1,Western kingbird,"Western kingbird (KS-173), KS-175, KS-187, OR-331",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Kansas,Kansas,Kansas,Kansas 
263,187,KS-187,2,Common nighthawk,"Common nighthawk OR-170, (KS-187), (OR-192), (CO-215), (CO-216), (OR-331)",Caprimulgidae,Nightjars,Nightjars,Kansas,Kansas,Kansas,Kansas 
264,188,CO-188,1,Cassin’s sparrow,Cassin’s sparrow CO-188,Emberizidae,Sparrows,Sparrows,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
265,189,CO-189,1,Lark sparrow ,Lark sparrow CO-189,Emberizidae,Sparrows,Sparrows,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
266,190,OR-190,1,Bullock’s oriole ,Bullock’s oriole OR-190,Icteridae,Blackbirds,Blackbirds,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
269,190,OR-190,2,Willow flycatcher ,"Willow flycatcher KY-82, MO-153, (OR-190), MT-225",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
268,190,OR-190,2,Pied-billed grebe ,"Pied-billed grebe OR-179, (OR-190), (OR-359)",Podicipedidae,Grebes,Grebes,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
267,190,OR-190,2,American coot ,American coot (OR-190),Rallidae,"Rails, cranes","Rails, cranes",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
270,190,OR-190,2,Yellow warbler ,"Yellow warbler WY-69, IL-94, (OR-190), MT-288, ID-309, ID-310, WY-316",Parulidae,Warblers,Warblers,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
271,191,OR-191,1,House finch,"House finch KY-120, OR-191",Fringillidae,"Finches, house sparrow","Finches, house sparrow","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
272,192,OR-192,1,Say’s phoebe ,Say’s phoebe OR-192,Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
273,192,OR-192,2,Common nighthawk,"Common nighthawk OR-170, (KS-187), (OR-192), (CO-215), (CO-216), (OR-331)",Caprimulgidae,Nightjars,Nightjars,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
276,193,CO-193,1,Black-headed grosbeak ,"Black-headed grosbeak CO-193, CO-198, (ID-302), OR-325",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
275,193,CO-193,2,Common poorwill,Common poorwill (CO-193),Caprimulgidae,Nightjars,Nightjars,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
277,194,CO-194,1,Spotted towhee ,"Spotted towhee CO-194, (OR-207), WY-235, ID-298, OR-354, (OR-359), OR-374, OR-375, OR-378 ",Emberizidae,Sparrows,Sparrows,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
278,195,CO-195,1,Gray flycatcher,"Gray flycatcher CO-195, CO-196, CO-197",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
279,196,CO-196,1,Gray flycatcher,"Gray flycatcher CO-195, CO-196, CO-197",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
280,197,CO-197,1,Gray flycatcher,"Gray flycatcher CO-195, CO-196, CO-197",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
281,198,CO-198,1,Black-headed grosbeak ,"Black-headed grosbeak CO-193, CO-198, (ID-302), OR-325",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
282,199,CO-199,1,Juniper titmouse,Juniper titmouse CO-199,Paridae ,"Chickadees, titmouse","Chickadees, titmouse","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
283,200,CO-200,1,Plumbeous vireo ,Plumbeous vireo CO-200,Vireonidae,"Shrikes, vireos","Shrikes, vireos","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
284,201,OR-201,1,Western wood-pewee,"Western wood-pewee OR-201, OR-207, MT-275",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
285,201,OR-201,2,Purple martin ,"Purple martin VA-18, (IL-88), IL-126, (OR-201)",Hirundinidae,"Larks, swallows","Larks, swallows","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
286,202,ID-202,1,Cordilleran flycatcher,Cordilleran flycatcher ID-202,Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Idaho,Idaho,Idaho ,Idaho
287,203,CO-203,1,Broad-tailed hummingbird,"Broad-tailed hummingbird CO-203, CO-204, ID-255",Trochilidae,"Swifts, hummingbirds","Swifts, hummingbirds","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
288,204,CO-204,1,Broad-tailed hummingbird ,"Broad-tailed hummingbird CO-203, CO-204, ID-255",Trochilidae,"Swifts, hummingbirds","Swifts, hummingbirds","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
289,205,CO-205,1,Lesser goldfinch,Lesser goldfinch CO-205,Fringillidae,"Finches, house sparrow","Finches, house sparrow","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
290,206,CO-206,1,Clark’s nutcracker,"Clark’s nutcracker CO-206, MT-289",Corvidae,Jays and crows,Jays and crows,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
291,206,CO-206,1,Hermit thrush,"Hermit thrush CO-206, CO-256, OR-334, OR-347",Turdidae,Thrushes,Thrushes,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
295,207,OR-207,2,American goldfinch,"American goldfinch (OR-207), WY-234, (WY-235), WY-316",Fringillidae,"Finches, house sparrow","Finches, house sparrow","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
292,207,OR-207,1,Western wood-pewee,"Western wood-pewee OR-201, OR-207, MT-275",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
294,207,OR-207,2,Spotted towhee,"Spotted towhee CO-194, (OR-207), WY-235, ID-298, OR-354, (OR-359), OR-374, OR-375, OR-378 ",Emberizidae,Sparrows,Sparrows,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
293,207,OR-207,2,Cedar waxwing,"Cedar waxwing OR-147, (OR-207)",Bombycyllidae,"Waxwing, longspur","Waxwing, longspur","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
296,208,CO-208,1,Pinyon jay ,Pinyon jay CO-208,Corvidae,Jays and crows,Jays and crows,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
297,209,CO-209,1,Mountain chickadee ,"Mountain chickadee CO-209, CO-214, WY-267, (WY-262)",Paridae,"Chickadees, titmouse","Chickadees, titmouse","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
298,210,CO-210,1,Ruby-crowned kinglet,"Ruby-crowned kinglet CO-210, (WY-262), WY-265",Regulidae,"Gnatcatchers, kinglets, wrentit","Gnatcatchers, kinglets, +","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
299,211,CO-211,1,Wilson’s warbler ,"Wilson’s warbler CO-211, OR-365",Parulidae,Warblers,Warblers,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
300,212,CO-212,1,White-crowned sparrow,"White-crowned sparrow CO-212, MT-269, MT-270, MT-271, MT-286",Emberizidae,Sparrows,Sparrows,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
303,213,CO-213,2,Red-naped sapsucker,"Red-naped sapsucker (CO-213), (WY-251), MT-291",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
302,213,CO-213,2,Sandhill crane,"Sandhill crane (CO-213), (MT-268), MT-272, (MT-285), (MT-290)",Gruidae,"Rails, cranes","Rails, cranes","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
301,213,CO-213,1,Lincoln’s sparrow ,"Lincoln’s sparrow CO-213, MT-290",Emberizidae,Sparrows,Sparrows,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
304,213,CO-213,2,MacGillivray’s warbler,"MacGillivray’s warbler (CO-213), (WY-251), MT-289",Parulidae,Warblers,Warblers,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
305,214,CO-214,1,Mountain chickadee ,"Mountain chickadee CO-209, CO-214, WY-267, (WY-262)",Paridae,"Chickadees, titmouse","Chickadees, titmouse","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
307,215,CO-215,2,Common nighthawk,"Common nighthawk OR-170, (KS-187), (OR-192), (CO-215), (CO-216), (OR-331)",Caprimulgidae,Nightjars,Nightjars,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
306,215,CO-215,1,Brewer’s sparrow ,"Brewer’s sparrow CO-215, CO-216, ID-219, ID-220",Emberizidae,Sparrows,Sparrows,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
309,216,CO-216,2,Common nighthawk,"Common nighthawk OR-170, (KS-187), (OR-192), (CO-215), (CO-216), (OR-331)",Caprimulgidae,Nightjars,Nightjars,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
308,216,CO-216,1,Brewer’s sparrow ,"Brewer’s sparrow CO-215, CO-216, ID-219, ID-220",Emberizidae,Sparrows,Sparrows,"Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
