1,#,state-#,1 = primary; 2 = (bkgd),Species only (deleted all recording info from column E),Species and Locations (redundant info; leave as is),Family Name,"Taxon group--full length from ""Web--Listen by species"" for LISTEN BY SPECIES web page",Taxon group--shortened for 2nd line of THIS RECORDING on 381 web pages,"Location--full length from file ""Web--Listen by state"" for LISTEN BY STATE",Location--shortened for first line of THIS RECORDING for 381 web pages,,Location--shortened for first line of THIS RECORDING for 381 web pages; EXPERIMENTAL; DO NOT USE THIS COLUMN
90,60,VA-60,2,Brown creeper,"Brown creeper VA-59, (VA-60), OR-353",Certhiidae,"Bushtit, nuthatches, creepers","Bushtit, nuthatches, +",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
89,60,VA-60,1,Red-breasted nuthatch ,"Red-breasted nuthatch VA-60, (WY-251), (ID-304)",Sittidae,"Bushtit, nuthatches, creepers","Bushtit, nuthatches, +",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
91,60,VA-60,2,Black-throated green warbler ,"Black-throated green warbler (VA-60), VA-61, VA-62",Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
92,61,VA-61,1,Black-throated green warbler ,"Black-throated green warbler (VA-60), VA-61, VA-62",Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
94,62,VA-62,2,Golden-crowned kinglet ,"Golden-crowned kinglet (VA-62), OR-337",Regulidae,"Gnatcatchers, kinglets, wrentit","Gnatcatchers, kinglets, +",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
93,62,VA-62,1,Black-throated green warbler ,"Black-throated green warbler (VA-60), VA-61, VA-62",Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
95,63,VA-63,1,Dark-eyed junco ,"Dark-eyed junco VA-63, WY-251, OR-336, OR-375",Emberizidae,Sparrows,Sparrows,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
96,64,VA-64,1,Blue-headed vireo ,Blue-headed vireo VA-64 ,Vireonidae,"Shrikes, vireos","Shrikes, vireos",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
97,65,VA-65,1,Bert Snodgrass,Bert Snodgrass VA-65,People,People,People,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
98,66,VA-66,1,Chimney swift,Chimney swift VA-66,Apodidae,"Swifts, hummingbirds","Swifts, hummingbirds",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
99,67,VA-67,1,Terry Owens ,Terry Owens VA-67,People,People,People,"Appalachia, Virginia and Kentucky ",Appalachia,Virginia and Kentucky: Appalachia,"Appalachia, VA & KY"
